harbor_name,geometry
Marstal,0103000020E610000001000000060000009B90D618740A2540BF2CEDD45C6C4B409B90D618740A254075029A081B6E4B406F8104C58F11254075029A081B6E4B406F8104C58F112540BF2CEDD45C6C4B4031EA5A7B9F0A2540BF2CEDD45C6C4B409B90D618740A2540BF2CEDD45C6C4B40
Hvide Sande,0103000020E61000000100000006000000F6285C8FC235204096D05D1267FF4B40F6285C8FC2352040E8887C9752014C40240F4416694A2040E8887C9752014C40240F4416694A204096D05D1267FF4B408BC6DADFD936204096D05D1267FF4B40F6285C8FC235204096D05D1267FF4B40
Stauning Fiskeri- og Lystbådehavn,0103000020E61000000100000006000000EE04FBAF73BB2040357C0BEBC6F94B40EE04FBAF73BB20402F3201BF46FA4B40927538BA4ABF20402F3201BF46FA4B40927538BA4ABF2040357C0BEBC6F94B40056D72F8A4BB2040357C0BEBC6F94B40EE04FBAF73BB2040357C0BEBC6F94B40
Bork,0103000020E61000000100000006000000ED48F59D5F8C20400EA0DFF76FEC4B40ED48F59D5F8C2040A8531EDD08ED4B4091B932A836902040A8531EDD08ED4B4091B932A8369020400EA0DFF76FEC4B40268A90BA9D8D20400EA0DFF76FEC4B40ED48F59D5F8C20400EA0DFF76FEC4B40
Skaven Havn,0103000020E61000000100000006000000D6AC33BE2FB6204012F6ED2422F24B40D6AC33BE2FB62040C3F5285C8FF24B40D4449F8F32BA2040C3F5285C8FF24B40D4449F8F32BA204012F6ED2422F24B401AFD683865B6204012F6ED2422F24B40D6AC33BE2FB6204012F6ED2422F24B40
Kolding,0103000020E610000001000000060000004BB0389CF9F5224075CDE49B6DBE4B404BB0389CF9F522405648F949B5BF4B40187D0569C60223405648F949B5BF4B40187D0569C602234075CDE49B6DBE4B4079C9FFE4EFF6224075CDE49B6DBE4B404BB0389CF9F5224075CDE49B6DBE4B40
Grådyb and Esbjerg Harbour,0103000020E61000000100000006000000F853E3A59BA420408195438B6CB74B40F853E3A59BA420404CC45BE7DFC04B400D36751E150721404CC45BE7DFC04B400D36751E150721408195438B6CB74B40724D81CCCEB220408195438B6CB74B40F853E3A59BA420408195438B6CB74B40
Rømø,0103000020E610000001000000060000001F85EB51B81E2140BBD6DEA7AA8A4B401F85EB51B81E2140E4326E6AA08B4B40286552431B282140E4326E6AA08B4B40286552431B282140BBD6DEA7AA8A4B40D6A88768741F2140BBD6DEA7AA8A4B401F85EB51B81E2140BBD6DEA7AA8A4B40
Enstedværket and Aabenraa,0103000020E61000000100000006000000832F4CA60AD6224075B0FECF61824B40832F4CA60AD62240D1AE42CA4F864B406666666666E62240D1AE42CA4F864B406666666666E6224075B0FECF61824B400C76C3B645D9224075B0FECF61824B40832F4CA60AD6224075B0FECF61824B40
Sønderballe Bådehavn,0103000020E61000000100000005000000C2C1DEC490F42240B0FF3A376D904B40C2C1DEC490F422403FA88B14CA904B40B727486C77F722403FA88B14CA904B40B727486C77F722408CF50D4C6E904B40C2C1DEC490F42240B0FF3A376D904B40
Kalvø Havn,0103000020E610000001000000060000005DA8FC6B79ED224049A12C7C7D8F4B405DA8FC6B79ED224024287E8CB98F4B40C8073D9B55EF224024287E8CB98F4B40C8073D9B55EF224049A12C7C7D8F4B4058FFE7305FEE224049A12C7C7D8F4B405DA8FC6B79ED224049A12C7C7D8F4B40
Haderslev Havn,0103000020E61000000100000006000000A04E797423FC2240FA264D83A29F4B40A04E797423FC2240BA86191A4FA04B40A01A2FDD24062340BA86191A4FA04B40A01A2FDD24062340FA264D83A29F4B40A5BE2CEDD4FC2240FA264D83A29F4B40A04E797423FC2240FA264D83A29F4B40
